label,x0,y0,dx,dy
0 -,-,-,-,-
1 -,-,-,-,-
2,4271,3541,77,275
3,4067,2443,200,305
4,4005,3319,212,174
5,3892,546,313,551
6,4095,3923,80,50
7,3839,2741,273,145
8,3954,1041,157,151
9,3994,3266,115,117
10,4065,3680,36,28
11,3726,1139,340,208
12,3965,395,79,155
13,3994,3190,48,48
14,3964,3450,77,101
15,3975,3325,50,135
16,3623,792,399,393
17,3731,2039,285,155
18,3899,3214,110,127
19,3878,3272,120,319
20,3726,425,272,209
21,3966,3783,23,46
22,3944,1384,32,42
23,3665,586,299,264
24,3912,3401,39,91
25,3891,3696,53,37
26,3859,1499,81,108
27,3767,3134,171,139
28,3769,3238,139,215
29,3845,3101,51,51
30,3851,1636,35,48
31,3726,2696,145,145
32,3690,2550,177,193
33,3627,2655,238,339
34,3509,3037,352,181
35,3797,410,48,75
36,3792,3680,48,76
37,3466,1115,361,280
38,3688,3196,136,130
39,3764,394,48,66
40,3607,3274,185,227
41,3556,411,228,280
42,3636,879,138,132
43,3734,3589,34,40
44,3490,1316,275,301
45,3360,672,372,484
46,3541,2338,190,237
47,3519,2079,198,93
48,3517,3151,190,226
49,3620,2566,86,106
50,3546,3710,149,263
51,3519,3437,160,265
52,3527,2482,144,155
53,3400,3302,223,183
54,3409,2958,199,162
55,3346,2182,253,235
56,3432,531,166,231
57,3421,3431,174,256
58,3427,3093,168,148
59,3445,2378,147,121
60,3404,1111,172,158
61,3262,1478,306,287
62,3469,1047,98,127
63,3491,2824,64,142
64,3266,2139,287,417
65,3226,2699,315,341
66,3088,2950,449,395
67,3237,1303,295,339
68,3260,1700,246,311
69,3192,2505,306,385
70,3373,1038,121,149
71,3246,530,241,218
72,3138,1185,346,302
73,3353,916,83,149
74,3287,3278,146,256
75,3322,1992,106,222
76,3218,3511,203,217
77,3107,1924,281,219
78,3288,725,93,225
79,3221,3596,154,221
80,3087,1681,288,290
81,3095,3233,237,251
82,3253,2572,68,29
83,3087,2085,233,242
84,3075,3420,241,329
85,3079,2262,224,207
86,3041,1537,254,205
87,3077,2630,199,379
88,3071,1428,181,166
89,3004,3062,244,288
90,2958,3553,283,309
91,3161,3560,64,49
92,3095,2490,129,146
93,3160,1941,62,94
94,3031,2550,187,204
95,2969,1262,243,224
96,3083,2405,122,134
97,3098,2250,100,121
98,2947,1877,236,375
99,3013,2781,143,173
100,3032,2242,102,171
101,2949,2940,182,227
102,2852,1629,274,216
103,2892,3255,230,315
104,2913,1824,209,156
105,3023,2418,82,212
106,2896,2714,204,140
107,3021,2384,59,70
108,2772,1402,307,256
109,2928,2501,143,214
110,2953,2220,118,211
111,2972,2171,92,61
112,2796,1194,266,292
113,2902,2792,140,152
114,2816,2701,226,114
115,2697,3529,343,331
116,2913,2382,127,152
117,2811,3153,217,278
118,2791,2994,222,250
119,2799,2177,211,139
